Ensembl.Gene.ID,,Associated.Gene.Name,EntrezGene.ID
ENSDARG00000055504,,CD68,100000085
ENSDARG00000068493,,si-zfos-411a11.2,100000156
ENSDARG00000069105,,fgfr4,100000160
ENSDARG00000021838,,rps23,100000341
ENSDARG00000061255,,dusp3a,100000665
ENSDARG00000026225,,whsc1,100000709
ENSDARG00000035187,,abl1,100000720
ENSDARG00000053496,,gemin8,100000842
ENSDARG00000040319,,c5ar1,100000959
ENSDARG00000018228,,htr2cl1,100000981
ENSDARG00000060596,,prkaa1,100001198
ENSDARG00000038116,,gnrhr4,100001586
ENSDARG00000093745,,htr1aa,100001828
ENSDARG00000036227,,npvf,100002108
ENSDARG00000074509,,tacr2,100002125
ENSDARG00000062053,,kif1bp,100002194
ENSDARG00000019572,,taf7,100002261
ENSDARG00000067563,,kiss1rb,100002715
ENSDARG00000078888,,iqgap1,100002928
ENSDARG00000104795,,CT826376.2,100002946
ENSDARG00000044153,,ppp1cb,100003223
ENSDARG00000011496,,ppm1bb,100003481
ENSDARG00000035533,,tacr1a,100003539
ENSDARG00000069422,,nhp2,100003787
ENSDARG00000094763,,npy2r,100003852
ENSDARG00000105281,,P2RY1,100003922
ENSDARG00000037966,,thoc6,100004014
ENSDARG00000052846,,fsta,100004116
ENSDARG00000041140,,ddb2,100004133
ENSDARG00000074060,,MAP3K14_2of2,100004261
ENSDARG00000037283,,plrg1,100004402
ENSDARG00000055163,,epo,100004455
ENSDARG00000036394,,pop7,100004610
ENSDARG00000103277,,cyp24a1,100004700
ENSDARG00000087195,,rorc,100004847
ENSDARG00000016788,,zeb1a,100004929
ENSDARG00000058999,,cdx1b,100004956
ENSDARG00000067976,,ar,100005148
ENSDARG00000069100,,aldh9a1a.1,100005587
ENSDARG00000057479,,HRH2,100005590
ENSDARG00000059029,,mmp28,100005670
ENSDARG00000038618,,cpt2,100005717
ENSDARG00000038635,,magoh,100005893
ENSDARG00000068761,,mespab,100006128
ENSDARG00000045150,,csnk1e,100006858
ENSDARG00000100794,,mmp13b,100006896
ENSDARG00000090768,,zp3.2,100007710
ENSDARG00000079202,,parp2,100007906
ENSDARG00000017007,,nr4a2a,100008101
ENSDARG00000075265,,plaua,100008445
ENSDARG00000017423,,patl1,100009659
ENSDARG00000042982,,cyp2p8,100034366
ENSDARG00000042980,,cyp2p7,100034406
ENSDARG00000061974,,grhl2b,100034503
ENSDARG00000070228,,cdk6,100034507
ENSDARG00000054510,,adrb2b,100037315
ENSDARG00000054799,,rfc1,100037336
ENSDARG00000038869,,htr5a,100038775
ENSDARG00000058341,,casp8l1,100049706
ENSDARG00000104292,,ctgfb,100124530
ENSDARG00000029688,,hsp70.1,100126123
ENSDARG00000056410,,fdx1,100126232
ENSDARG00000075829,,kiss1,100134982
ENSDARG00000056795,,serpine1,100136840
ENSDARG00000059360,,srsf3b,100145909
ENSDARG00000091481,,foxc1a,100148408
ENSDARG00000076624,,ptprb,100149130
ENSDARG00000077364,,mapk9,100149273
ENSDARG00000071298,,chrm3b,100149598
ENSDARG00000068934,,cyp1b1,100150054
ENSDARG00000098320,,grm1b,100150246
ENSDARG00000070941,,igfbp6a,100150352
ENSDARG00000070903,,met,100150664
ENSDARG00000069254,,chrm4a,100150701
ENSDARG00000075694,,adora1,100150997
ENSDARG00000070378,,ccl35.2,100170201
ENSDARG00000041623,,mt2,100174951
ENSDARG00000077985,,kiss2,100216472
ENSDARG00000003553,,gnrhr2,100270671
ENSDARG00000100593,,gnrhr1,100270672
ENSDARG00000054968,,cd40,100270764
ENSDARG00000090833,,igfbp6b,100301946
ENSDARG00000032631,,LTB4R,100317356
ENSDARG00000062707,,plat,100320028
ENSDARG00000102956,,mmp17b,100322027
ENSDARG00000089887,,mmp20a,100329766
ENSDARG00000058993,,rock1,100329779
ENSDARG00000054447,,SLC29A1_1of2,100331439
ENSDARG00000086294,,CU914776.1,100332204
ENSDARG00000045443,,agtr1b,100333455
ENSDARG00000028878,,vipr1a,100334247
ENSDARG00000075369,,nck1b,100334953
ENSDARG00000091624,,ugt2b5,100384902
ENSDARG00000077495,,ptpn9a,100526653
ENSDARG00000091702,,CSNK2A1,100535532
ENSDARG00000099854,,HTR7_2of2,100536080
ENSDARG00000089369,,fdxr,100536115
ENSDARG00000055479,,mmp20b,100537445
ENSDARG00000039145,,plaub,100538108
ENSDARG00000053929,,opn4b,100884131
ENSDARG00000102318,,il6,100885851
ENSDARG00000103868,,E2F1,101885420
ENSDARG00000074816,,si-zfos-367g9.1,103908641
ENSDARG00000011405,,rps9,114420
ENSDARG00000013207,,zeb1b,114425
ENSDARG00000007377,,odc1,114426
ENSDARG00000094132,,igf1,114433
ENSDARG00000090237,,zp2.3,114438
ENSDARG00000052649,,ube2ia,114445
ENSDARG00000038743,,copb2,114454
ENSDARG00000054063,,arpc4,114456
ENSDARG00000031796,,ache,114549
ENSDARG00000011876,,ednraa,114550
ENSDARG00000080010,,adh5,116517
ENSDARG00000053493,,aldh1a2,116713
ENSDARG00000042529,,gnat2,140429
ENSDARG00000063908,,mt-co2,140540
ENSDARG00000035622,,xbp1,140614
ENSDARG00000059279,,tfap2a,140618
ENSDARG00000015524,,prps1a,140620
ENSDARG00000017905,,casp3a,140621
ENSDARG00000016706,,atic,140622
ENSDARG00000034503,,per2,140633
ENSDARG00000098315,,cyp1a,140634
ENSDARG00000043257,,ckbb,140744
ENSDARG00000042725,,cebpb,140814
ENSDARG00000036074,,cebpa,140815
ENSDARG00000071418,,gbx1,142985
ENSDARG00000052765,,gria2b,170451
ENSDARG00000032737,,gria3a,170452
ENSDARG00000037017,,ube4b,170784
ENSDARG00000076667,,ccng1,171473
ENSDARG00000023290,,fabp3,171478
ENSDARG00000038439,,fabp10a,171481
ENSDARG00000011094,,ccna2,192295
ENSDARG00000043453,,rps5,192297
ENSDARG00000021669,,sec61a1,192298
ENSDARG00000018334,,rpl35,192299
ENSDARG00000100392,,rps18,192300
ENSDARG00000099104,,rpl24,192301
ENSDARG00000015427,,hdac1,192302
ENSDARG00000012399,,adssl,192305
ENSDARG00000052674,,csnk1a1,192307
ENSDARG00000092553,,slc25a5,192321
ENSDARG00000014898,,ncbp2,192325
ENSDARG00000015325,,u2af1,192328
ENSDARG00000009871,,snrpc,192330
ENSDARG00000011648,,snrpd1,192331
ENSDARG00000038882,,smc4,192332
ENSDARG00000030694,,atp6v1e1b,192335
ENSDARG00000057853,,atp6v0ca,192336
ENSDARG00000058105,,rpl36a,195819
ENSDARG00000071494,,fshr,195820
ENSDARG00000037153,,atp6ap1b,195824
ENSDARG00000037998,,flot1b,245697
ENSDARG00000004830,,flot2a,245698
ENSDARG00000011948,,insra,245699
ENSDARG00000071524,,insrb,245700
ENSDARG00000027423,,igf1ra,245701
ENSDARG00000034434,,igf1rb,245702
ENSDARG00000002933,,gbx2,245948
ENSDARG00000012987,,gpia,246094
ENSDARG00000020046,,ahr1a,246224
ENSDARG00000052148,,ptgs1,246226
ENSDARG00000004539,,ptgs2a,246227
ENSDARG00000004111,,esr1,259252
ENSDARG00000055969,,rfc3,259256
ENSDARG00000004015,,adcyap1a,259257
ENSDARG00000052039,,caspb,259303
ENSDARG00000021172,,cyp2ad2,259306
ENSDARG00000104541,,msh6,260437
ENSDARG00000020574,,atp2a1,260440
ENSDARG00000040492,,mthfd1b,260441
ENSDARG00000006868,,trh,266721
ENSDARG00000068177,,pak2a,266749
ENSDARG00000040841,,adra2a,266750
ENSDARG00000069669,,adra2c,266752
ENSDARG00000018179,,acvrl1,266753
ENSDARG00000005675,,sec61al2,266796
ENSDARG00000104953,,stt3a,266797
ENSDARG00000036239,,gatm,266799
ENSDARG00000105046,,ccnf,266981
ENSDARG00000037109,,pwp2h,266990
ENSDARG00000041895,,cad,266992
ENSDARG00000103799,,kars,280647
ENSDARG00000058471,,plk1,280649
ENSDARG00000056926,,drd2a,282557
ENSDARG00000020364,,fbp1b,282672
ENSDARG00000056160,,hspd1,282676
ENSDARG00000043865,,timm9,282678
ENSDARG00000019507,,mcm5,286747
ENSDARG00000045155,,phf5a,286774
ENSDARG00000006370,,atp6v1h,286779
ENSDARG00000101209,,lamb1a,286830
ENSDARG00000101744,,hug,30065
ENSDARG00000077840,,meis2b,30066
ENSDARG00000104702,,cat,30068
ENSDARG00000024894,,tbx5a,30071
ENSDARG00000012671,,inhbaa,30072
ENSDARG00000003732,,mitfa,30080
ENSDARG00000007923,,ptpn1,30081
ENSDARG00000099420,,nme2b.2,30084
ENSDARG00000100990,,nme3,30085
ENSDARG00000056193,,nme7,30086
ENSDARG00000013505,,ube2kb,30100
ENSDARG00000104453,,flt4,30121
ENSDARG00000003411,,foxa2,30126
ENSDARG00000055554,,wnt1,30128
ENSDARG00000025641,,gli2a,30154
ENSDARG00000037879,,lfng,30158
ENSDARG00000003487,,nup93,30172
ENSDARG00000042826,,egr2b,30190
ENSDARG00000101637,,ccnd1,30222
ENSDARG00000002952,,smo,30225
ENSDARG00000018902,,pes,30228
ENSDARG00000056130,,neurog1,30239
ENSDARG00000103979,,calr3a,30248
ENSDARG00000017369,,sema3d,30250
ENSDARG00000016771,,tfa,30255
ENSDARG00000014571,,ctnnb1,30265
ENSDARG00000058570,,ccl27a,30268
ENSDARG00000040777,,inhbb,30275
ENSDARG00000036036,,mdka,30277
ENSDARG00000020625,,jak1,30280
ENSDARG00000036222,,npy,30281
ENSDARG00000002193,,rho,30295
ENSDARG00000042904,,foxo3b,30296
ENSDARG00000018882,,jak2b,30298
ENSDARG00000104808,,jak2a,30307
ENSDARG00000040295,,apoeb,30314
ENSDARG00000058379,,otpb,30316
ENSDARG00000013057,,hoxb5a,30317
ENSDARG00000008174,,hoxb1a,30337
ENSDARG00000000175,,hoxb2a,30338
ENSDARG00000029263,,hoxb3a,30339
ENSDARG00000013533,,hoxb4a,30340
ENSDARG00000010630,,hoxb6a,30341
ENSDARG00000056027,,hoxb8a,30343
ENSDARG00000087697,,lpl,30354
ENSDARG00000060004,,fzd7a,30369
ENSDARG00000054438,,fzd2,30370
ENSDARG00000070340,,hoxc5a,30379
ENSDARG00000038225,,nras,30380
ENSDARG00000033999,,cyp26a1,30381
ENSDARG00000030621,,th,30384
ENSDARG00000075445,,psmb5,30387
ENSDARG00000002240,,psmb6,30388
ENSDARG00000041348,,cyp19a1a,30390
ENSDARG00000101576,,ta,30399
ENSDARG00000044862,,opn1lw1,30413
ENSDARG00000033172,,nr2f5,30427
ENSDARG00000077776,,csnk2b,30428
ENSDARG00000053254,,mylpfa,30429
ENSDARG00000030756,,dnmt1,30430
ENSDARG00000018494,,smn1,30432
ENSDARG00000017274,,opn1sw2,30435
ENSDARG00000040163,,prim1,30440
ENSDARG00000089334,,ednrba,30442
ENSDARG00000056258,,cdc27,30450
ENSDARG00000044422,,acvr2b,30457
ENSDARG00000013477,,gata1a,30481
ENSDARG00000017821,,gata5,30482
ENSDARG00000098952,,gata4,30483
ENSDARG00000002006,,rxrbb,30486
ENSDARG00000012818,,csnk2a2a,30488
ENSDARG00000040764,,id1,30493
ENSDARG00000101251,,ldha,30496
ENSDARG00000019644,,ldhba,30497
ENSDARG00000037421,,egr1,30498
ENSDARG00000011235,,otx2,30501
ENSDARG00000097008,,opn1mw1,30503
ENSDARG00000069446,,dbh,30505
ENSDARG00000041660,,oprd1a,30509
ENSDARG00000004415,,tcf7l2,30510
ENSDARG00000021833,,ahr2,30517
ENSDARG00000016448,,vtg3,30518
ENSDARG00000053666,,myb,30519
ENSDARG00000038159,,tcf7l1a,30523
ENSDARG00000078954,,rxrba,30530
ENSDARG00000003399,,fgf8a,30538
ENSDARG00000102138,,foxa1,30541
ENSDARG00000101717,,sox17,30544
ENSDARG00000004586,,ntrk1,30546
ENSDARG00000101540,,fgf3,30549
ENSDARG00000043848,,sod1,30553
ENSDARG00000007369,,tcf7l1b,30556
ENSDARG00000012788,,foxa3,30559
ENSDARG00000103379,,pax6a,30567
ENSDARG00000057026,,ran,30572
ENSDARG00000029764,,mef2ca,30575
ENSDARG00000045677,,opn1sw1,30582
ENSDARG00000035559,,tp53,30590
ENSDARG00000010478,,hsp90aa1.1,30591
ENSDARG00000038147,,hbbe3,30596
ENSDARG00000034117,,rarga,30606
ENSDARG00000021163,,thrb,30607
ENSDARG00000099744,,gap43,30608
ENSDARG00000019995,,bmp4,30612
ENSDARG00000014986,,acvr1l,30615
ENSDARG00000007438,,ube2ib,30622
ENSDARG00000027199,,smad1,30628
ENSDARG00000013409,,bmp2a,30631
ENSDARG00000041430,,bmp2b,30632
ENSDARG00000033443,,mdm2,30637
ENSDARG00000006389,,smad2,30639
ENSDARG00000025301,,gfap,30646
ENSDARG00000002165,,psme1,30648
ENSDARG00000012234,,psme3,30649
ENSDARG00000017803,,gsk3b,30654
ENSDARG00000035609,,mtnr1c,30661
ENSDARG00000015681,,gsk3ab,30664
ENSDARG00000000151,,thraa,30670
ENSDARG00000012019,,glra1,30676
ENSDARG00000054155,,pcna,30678
ENSDARG00000056783,,raraa,30680
ENSDARG00000042021,,mapk12a,30681
ENSDARG00000103542,,vegfaa,30682
ENSDARG00000079802,,aanat2,30685
ENSDARG00000045695,,myca,30686
ENSDARG00000017354,,epha2a,30689
ENSDARG00000021232,,nkx2.7,30694
ENSDARG00000018004,,nkx2.5,30696
ENSDARG00000103027,,clns1a,30699
ENSDARG00000031894,,lef1,30701
ENSDARG00000043250,,ppm1ab,30703
ENSDARG00000032155,,ppm1aa,30704
ENSDARG00000011027,,fgfr1a,30705
ENSDARG00000018643,,igf2a,30710
ENSDARG00000096415,,raf1a,30716
ENSDARG00000002779,,pdx1,30721
ENSDARG00000009021,,chrna1,30725
ENSDARG00000011594,,smarcb1b,30731
ENSDARG00000014420,,elavl3,30732
ENSDARG00000078069,,rrm2,30733
ENSDARG00000038695,,elavl1,30736
ENSDARG00000034541,,tgfbr2,30739
ENSDARG00000014017,,rrm1,30740
ENSDARG00000102441,,ctnna1,30741
ENSDARG00000028663,,tek,30747
ENSDARG00000044525,,pparda,30750
ENSDARG00000009473,,ppardb,30754
ENSDARG00000022712,,stat3,30767
ENSDARG00000005645,,robo3,30770
ENSDARG00000077264,,wdr43,317637
ENSDARG00000099351,,igfbp1a,317638
ENSDARG00000002591,,ruvbl1,317679
ENSDARG00000034181,,esr2b,317733
ENSDARG00000016454,,esr2a,317734
ENSDARG00000008816,,glud1a,317737
ENSDARG00000045308,,pola1,317740
ENSDARG00000043457,,gapdh,317743
ENSDARG00000006900,,impdh2,317745
ENSDARG00000044914,,suclg2,317746
ENSDARG00000041361,,ttk,317763
ENSDARG00000059259,,pabpc4,321035
ENSDARG00000002790,,ap2m1a,321051
ENSDARG00000011079,,wdr3,321058
ENSDARG00000008867,,rap1b,321107
ENSDARG00000023299,,nhp2l1b,321114
ENSDARG00000033539,,paics,321193
ENSDARG00000005454,,tacc3,321283
ENSDARG00000062025,,cpox,321294
ENSDARG00000012682,,pfn2l,321383
ENSDARG00000052960,,nppa,321442
ENSDARG00000007836,,ctsla,321453
ENSDARG00000025147,,cd63,321461
ENSDARG00000077870,,taf9,321485
ENSDARG00000015239,,prp19,321544
ENSDARG00000058467,,prpf40a,321555
ENSDARG00000052178,,eif2s1b,321564
ENSDARG00000037038,,psmc6,321585
ENSDARG00000101126,,atad5b,321619
ENSDARG00000053684,,aldob,321664
ENSDARG00000040287,,ywhabl,321729
ENSDARG00000003235,,nup88,321744
ENSDARG00000004774,,wdr36,321745
ENSDARG00000005926,,ak2,321793
ENSDARG00000016710,,rchy1,321875
ENSDARG00000016598,,ckmt1,321892
ENSDARG00000006219,,gnl3,321897
ENSDARG00000052377,,psmd12,321898
ENSDARG00000001873,,phgdh,321928
ENSDARG00000015392,,dhx15,321931
ENSDARG00000007141,,psmc3,321947
ENSDARG00000056414,,usp1,322007
ENSDARG00000074301,,cth,322055
ENSDARG00000015070,,pola2,322059
ENSDARG00000030700,,ctps1a,322089
ENSDARG00000013655,,tpd52l2b,322103
ENSDARG00000008370,,csnk1da,322106
ENSDARG00000013623,,vdac2,322126
ENSDARG00000009001,,pdia6,322160
ENSDARG00000003681,,eif5,322256
ENSDARG00000005134,,psmd11b,322265
ENSDARG00000006092,,rad21a,322275
ENSDARG00000011488,,sirt2,322309
ENSDARG00000015866,,apoa2,322327
ENSDARG00000103364,,cs,322339
ENSDARG00000021494,,hnf4a,322358
ENSDARG00000071691,,uqcrc2b,322549
ENSDARG00000003599,,rpl3,322571
ENSDARG00000057912,,eif1axb,322599
ENSDARG00000014572,,chpt1,322605
ENSDARG00000007294,,aco2,322670
ENSDARG00000043857,,ufm1,322756
ENSDARG00000045620,,nansa,322780
ENSDARG00000005536,,ubr7,322815
ENSDARG00000020465,,ewsr1b,322880
ENSDARG00000017454,,nup50,322969
ENSDARG00000013078,,ywhaba,323055
ENSDARG00000005423,,pgam1a,323107
ENSDARG00000042236,,atrx,323299
ENSDARG00000042905,,rpl10a,323305
ENSDARG00000001557,,tomm34,323361
ENSDARG00000103433,,rpl14,323365
ENSDARG00000012495,,mphosph10,323426
ENSDARG00000104431,,slc1a3a,323439
ENSDARG00000070657,,pa2g4b,323462
ENSDARG00000015352,,lsg1,323464
ENSDARG00000020258,,ewsr1a,323597
ENSDARG00000017320,,f11r.1,323696
ENSDARG00000103893,,srsf2b,323700
ENSDARG00000007996,,pou2f1b,323702
ENSDARG00000091367,,prpf6,323855
ENSDARG00000019239,,cul1a,323883
ENSDARG00000052966,,nmt1a,323956
ENSDARG00000038576,,ube2d1b,324015
ENSDARG00000056127,,polr2gl,324088
ENSDARG00000019098,,cd82a,324098
ENSDARG00000088347,,sp1,324109
ENSDARG00000018890,,snrpa,324121
ENSDARG00000021433,,asmtl,324134
ENSDARG00000025522,,sgk1,324140
ENSDARG00000030583,,foxk2,324141
ENSDARG00000077121,,cyp26b1,324188
ENSDARG00000015918,,dlat,324201
ENSDARG00000033307,,igf2b,324215
ENSDARG00000045228,,stub1,324243
ENSDARG00000075682,,orc6,324256
ENSDARG00000002402,,ercc3,324323
ENSDARG00000015575,,cyp3c1,324340
ENSDARG00000053047,,eif2s2,324365
ENSDARG00000042533,,gstm,324366
ENSDARG00000019000,,smc3,324475
ENSDARG00000027649,,cpsf3,324554
ENSDARG00000005891,,cyb5r3,324560
ENSDARG00000053070,,gosr2,324569
ENSDARG00000008395,,snupn,324743
ENSDARG00000041252,,gemin4,324754
ENSDARG00000004891,,pex19,324778
ENSDARG00000103578,,gtf2b,324823
ENSDARG00000042728,,plaa,324855
ENSDARG00000058292,,sephs1,324947
ENSDARG00000018476,,pak2b,325034
ENSDARG00000040031,,tardbp,325052
ENSDARG00000038290,,thoc5,325064
ENSDARG00000008107,,src,325084
ENSDARG00000090697,,eif3ea,325102
ENSDARG00000002720,,utp15,325106
ENSDARG00000026871,,uchl1,325119
ENSDARG00000043180,,gpd1b,325181
ENSDARG00000098627,,gspt1l,325284
ENSDARG00000037361,,kdelr2b,325464
ENSDARG00000003216,,anxa2a,325557
ENSDARG00000059323,,rpn1,325561
ENSDARG00000044301,,atf1,325609
ENSDARG00000015128,,rpl27,325618
ENSDARG00000003607,,nr2f6a,325637
ENSDARG00000014915,,ndufab1b,325712
ENSDARG00000016858,,smad7,326282
ENSDARG00000010207,,smad3b,326283
ENSDARG00000045928,,psma4,326687
ENSDARG00000019444,,ssr4,326701
ENSDARG00000036060,,exosc6,326786
ENSDARG00000027099,,psmc4,326884
ENSDARG00000067639,,prpf4,326944
ENSDARG00000020197,,rpl5a,326961
ENSDARG00000099663,,cox5ab,326962
ENSDARG00000076283,,snrpd3l,327011
ENSDARG00000015853,,rnps1,327020
ENSDARG00000010381,,rnf2,327035
ENSDARG00000022213,,uck2b,327057
ENSDARG00000018618,,cpsf6,327069
ENSDARG00000007347,,degs1,327075
ENSDARG00000006691,,rpl12,327089
ENSDARG00000013670,,hyou1,327133
ENSDARG00000014068,,pgam1b,327165
ENSDARG00000020008,,vcp,327197
ENSDARG00000074849,,rac1a,327204
ENSDARG00000058504,,ap1s2,327237
ENSDARG00000006624,,ppp2r2ab,327263
ENSDARG00000019360,,sec23b,327268
ENSDARG00000100435,,sec22bb,327277
ENSDARG00000003931,,cndp2,327288
ENSDARG00000071566,,ppp1cab,327301
ENSDARG00000002552,,mapkapk2a,327321
ENSDARG00000102417,,psmd7,327330
ENSDARG00000014139,,srp72,327335
ENSDARG00000100825,,calm3a,327379
ENSDARG00000100487,,nploc4,327447
ENSDARG00000036966,,hsd3b7,327462
ENSDARG00000023814,,dyrk1ab,327466
ENSDARG00000003938,,rpa1,327491
ENSDARG00000016733,,psat1,327512
ENSDARG00000076815,,eif3s10,327515
ENSDARG00000044627,,alg8,327601
ENSDARG00000033604,,lrpap1,333939
ENSDARG00000018953,,gclm,333974
ENSDARG00000020334,,ptpn11a,333979
ENSDARG00000059252,,zpcx,334011
ENSDARG00000018961,,gtpbp4,334050
ENSDARG00000018989,,hspa4b,334086
ENSDARG00000001975,,hsd11b2,334098
ENSDARG00000022456,,eno1a,334116
ENSDARG00000014806,,hacd2,334121
ENSDARG00000037491,,bmp15,334183
ENSDARG00000039605,,mat1a,334195
ENSDARG00000018426,,aldh7a1,334197
ENSDARG00000016443,,eif3c,334234
ENSDARG00000008805,,orc3,334315
ENSDARG00000059711,,nol6,334362
ENSDARG00000003866,,tm9sf2,334370
ENSDARG00000007955,,iars,334393
ENSDARG00000017049,,adsl,334431
ENSDARG00000037929,,strada,334550
ENSDARG00000045132,,vdac1,334582
ENSDARG00000057167,,eif4g2b,334618
ENSDARG00000018192,,ubr5,334627
ENSDARG00000035152,,ap2b1,334632
ENSDARG00000033596,,polr2c,334669
ENSDARG00000026726,,anxa1a,334724
ENSDARG00000004280,,seh1l,334749
ENSDARG00000036071,,gtf2h4,334839
ENSDARG00000022315,,atp6v1g1,335025
ENSDARG00000023323,,ywhaqb,335195
ENSDARG00000021120,,ndc1,335236
ENSDARG00000029818,,srsf5a,335396
ENSDARG00000027063,,arpc1b,335474
ENSDARG00000003961,,parp3,335495
ENSDARG00000006316,,rpl23a,335539
ENSDARG00000089043,,ptpn6,335573
ENSDARG00000027740,,adcyap1b,335625
