"","x","X.1"
"1","ALKYLATION PROTEIN","GO:0008213"
"2","REDUCED REPRODUCTIVE SUCCESS","GO:0000003"
"3","NA REPRODUCTIVE FAILURE","GO:0000003"
"4","INHIBITION ACTION POTENTIAL","GO:0001508"
"5","ALTERED ACTION POTENTIAL","GO:0001508"
"6","REDUCED PROSTAGLANDIN F2ALPHA SYNTHESIS OVARY","GO:0001516"
"7","DECREASED PROSTAGLANDIN F2ALPHA SYNTHESIS OVARY","GO:0001516"
"8","REDUCTION ANGIOGENESIS","GO:0001525"
"9","INCREASED ANGIOGENESIS","GO:0001525"
"10","ACTIVATION DENDRITIC CELLS","GO:0001775"
"11","STIMULATION OF ADULT LEYDIG CELLS VIA THE ADRENAL CORTICOSTERONE INCREASED GLUCOCORTICOID","GO:0001775"
"12","SUPPRESSION SUPPRESSION OF CYTOKINE PRODUCTION IN THE PRESENCE OF T-CELL ACTIVATION","GO:0001775"
"13","ACTIVATION FIBROBLASTS","GO:0001775"
"14","NON-NEURONAL PRODUCTION OF TNF EPITHELIAL IRRITATION","GO:0001816"
"15","PRODUCTION OF NERVE GROWTH FACTOR EPITHELIAL IRRITATION","GO:0001816"
"16","NON-NEURONAL PRODUCTION OF IL-8/CXCL1 EPITHELIAL IRRITATION","GO:0001816"
"17","DEPLETION ENERGY RESERVES DEPLETION ENERGY RESERVES","GO:0001820"
"18","INCREASED SEROTONIN 5-HT INCREASED SEROTONIN 5-HT","GO:0001820"
"19","INCREASED SEROTONIN 5-HT","GO:0001820"
"20","INCREASE CYTOTOXICITY","GO:0001909"
"21","INCREASED PROLIFERATION ENDOTHELIAL CELLS","GO:0001935"
"22","INCREASE DOPAMINERGIC ACTIVITY","GO:0001963"
"23","DECREASED DOPAMINERGIC ACTIVITY","GO:0001963"
"24","SUPPRESSION INFLAMMATORY CYTOKINES","GO:0002534"
"25","ACTIVATION KERATINOCYTES","GO:0002534"
"26","REDUCTION RELEASE OF CIRCULATING CRUSTACEAN CARDIOACTIVE PEPTIDE","GO:0002790"
"27","IMPAIRMENT ENDOTHELIAL NETWORK","GO:0003158"
"28","REDUCED MATURATION INDUCING STEROID RECEPTOR SIGNALLING OOCYTE","GO:0003707"
"29","STABILIZATION PPAR ALPHA CO-REPRESSOR","GO:0003714"
"30","DECREASED DHB4/HSD17B4","GO:0003824"
"31","DECREASE INCORPORATION OF ACTIVE IODIDE INTO IODOTYROSINES","GO:0003824"
"32","INHIBITION 5ALPHA-REDUCTASE ACTIVITY","GO:0003824"
"33","INHIBITION PROLYL HYDROXYLASES","GO:0003824"
"34","INHIBITION UROD","GO:0003824"
"35","DECREASE AKT/ENOS ACTIVITY","GO:0003824"
"36","INHIBITION DEIODINASE 2","GO:0003824"
"37","INHIBITION DEIODINASE 1","GO:0003824"
"38","IRREVERSIBLE INHIBITION OF HEPATIC VKOR BY BINDING OF AR AT TYROSINE 139 FAILURE TO CYCLE VITAMIN K EPOXIDE TO VITAMIN K TO FORM VITAMIN K HYDROQUINONE","GO:0003824"
"39","INHIBITION IODOTYROSINE DEIODINASE IYD","GO:0003824"
"40","INHIBITION DEIODINASE 3","GO:0003824"
"41","INHIBITION DUAL OXIDASE","GO:0003824"
"42","INDUCTION UPREGULATION OF GLUCURONYLTRANSFERASE ACTIVITY","GO:0003824"
"43","DECREASED 3-HYDROXYACYL-COA DEHYDROGENASE TYPE-2 ACTIVITY","GO:0003857"
"44","ACTIVATION 3-HYDROXY-3-METHYLGLUTARYL-COA REDUCTASE GENE","GO:0003857"
"45","INHIBITION ACETYLCHOLINESTERASE ACHE","GO:0003990"
"46","DOWN REGULATION GSS AND GSTS GENE","GO:0004364"
"47","INHIBITION PHOSPHOLIPASE A","GO:0004620"
"48","INHIBITION CYCLOOXYGENASE ACTIVITY","GO:0004666"
"49","INHIBITION CYCLOOXYGENASE 1 ACTIVITY","GO:0004666"
"50","INCREASED INDUCTION OF PYRUVATE DEHYDROGENASE PDH","GO:0004738"
"51","INHIBITION PYRUVATE DEHYDROGENASE KINASE PDK ENZYME","GO:0004738"
"52","ACTIVATION PXR/SXR","GO:0004872"
"53","N/A ANDROGEN RECEPTOR ANTAGONISM","GO:0004882"
"54","AGONISM ANDROGEN RECEPTOR","GO:0004882"
"55","DECREASED ANDROGEN RECEPTOR ACTIVITY","GO:0004882"
"56","ACTIVATION ANDROGEN RECEPTOR","GO:0004882"
"57","BINDING OF AGONIST IONOTROPIC GLUTAMATE RECEPTORS","GO:0004970"
"58","DECREASED TESTOSTERONE BINDING TO ANDROGEN RECEPTOR HYPOTHALAMUS","GO:0005102"
"59","ACTIVATION INFLAMMATORY CYTOKINES CHEMOKINES CYTOPROTECTIVE GENE PATHWAYS","GO:0005125"
"60","SP SUBSTANCE P RELEASE LOCAL INCREASE OF SP","GO:0005184"
"61","NEURONAL RELEASE OF CGRP INCREASED CGRP","GO:0005184"
"62","NA INCREASED NEUROKININ A NKA BY NEURONAL CELLS","GO:0005184"
"63","IMPAIRED ION CHANNELS","GO:0005216"
"64","ACTIVATION GLUTAMATE-GATED CHLORIDE CHANNEL","GO:0005254"
"65","ACTIVATION GLUTAMATE-GATED CHLORIDE CHANNELS","GO:0005254"
"66","ALTERED CA2+-CALMODULIN ACTIVATED SIGNAL TRANSDUCTION ALTERED CA2+-CALMODULIN ACTIVATED SIGNAL TRANSDUCTION","GO:0005488"
"67","INCREASED BINDING OF CHEMICALS TO 2U SERUM","GO:0005488"
"68","BINDING TRANSTHYRETIN IN SERUM","GO:0005488"
"69","BINDING FORMATION BINDING OF CALCINEURIN WITH FK506-FKBP COMPLEXES","GO:0005488"
"70","IMMUNOPHILINS BINDING","GO:0005488"
"71","BINDING SH-/SELEN-PROTEINS","GO:0005515"
"72","COVALENT BINDING PROTEIN","GO:0005515"
"73","BINDING OF INHIBITOR NADH-UBIQUINONE OXIDOREDUCTASE COMPLEX I","GO:0006120"
"74","N/A INSUFFICIENT OR INCORRECT DNA REPAIR","GO:0006281"
"75","INCREASED INSUFFICIENT REPAIR OR MIS-REPAIR OF PRO-MUTAGENIC DNA ADDUCTS","GO:0006281"
"76","OVERWHELMED MITOCHONDRIAL DNA REPAIR MECHANISMS","GO:0006281"
"77","INCREASED DNA DAMAGE-REPAIR","GO:0006281"
"78","ALKYLATION DNA","GO:0006305"
"79","FORMATION PRO-MUTAGENIC DNA ADDUCTS","GO:0006305"
"80","ALTERED PROTEIN PRODUCTION","GO:0006412"
"81","DECREASED THYROID HORMONE SYNTHESIS","GO:0006590"
"82","ALTERATION LIPID METABOLISM","GO:0006629"
"83","SYNTHESIS DE NOVO FA","GO:0006633"
"84","INCREASED DE NOVO FA SYNTHESIS","GO:0006633"
"85","DECREASED DE NOVO FA SYNTHESIS","GO:0006633"
"86","DECREASED PEROXISOMAL FATTY ACID BETA OXIDATION OF FATTY ACIDS","GO:0006635"
"87","DECREASED MITOCHONDRIAL FATTY ACID BETA OXIDATION","GO:0006635"
"88","DECREASED MITOCHONDRIAL FATTY ACID BETA-OXIDATION","GO:0006635"
"89","INHIBITION MITOCHONDRIAL FATTY ACID BETA-OXIDATION","GO:0006635"
"90","UP REGULATION UNSATURATED FATTY ACID","GO:0006636"
"91","DECREASED STEROIDOGENESIS PROTEOMIC ALTERATIONS IN THE ADULT LEYDIG CELL","GO:0006694"
"92","DECREASED CHOLESTEROL DECREASED DE NOVO BIOSYNTHESIS OF CHOLESETEROL","GO:0006695"
"93","REDUCTION 17BETA-ESTRADIOL SYNTHESIS BY OVARIAN GRANULOSA CELLS","GO:0006703"
"94","REDUCTION IN OVARIAN GRANULOSA CELLS SYNTHESIS OF ESTRADIOL REDUCED STEROIDOGENIC PRODUCTION OF ESTRADIOL IN GRANULOSA CELLS","GO:0006703"
"95","DECREASED ATP PRODUCTION","GO:0006754"
"96","UNCOUPLING OF OXIDATIVE PHOSPHORYLATION REDUCED ABILITY TO GENERATE ATP","GO:0006754"
"97","DEPLETION NITRIC OXIDE","GO:0006809"
"98","DECREASED CALCIUM INFLUX","GO:0006816"
"99","REDUCTION CA AND HCO3 TRANSPORT TO SHELL GLAND","GO:0006816"
"100","OPENING OF CALCIUM CHANNEL CALCIUM INFLUX","GO:0006816"
"101","REDUCTION CHOLESTEROL TRANSPORT IN MITOCHONDRIA","GO:0006839"
"102","REDUCTION VITELLOGENIN ACCUMULATION INTO OOCYTES AND OOCYTE GROWTH/DEVELOPMENT","GO:0006898"
"103","INCREASED LDL UPTAKE","GO:0006898"
"104","CHANGES/INHIBITION CELLULAR HOMEOSTASIS AND APOPTOSIS","GO:0006915"
"105","INCREASED APOPTOSIS DECREASED NUMBER OF ADULT LEYDIG CELLS","GO:0006915"
"106","DECREASED STEROIDOGENESIS INCREASED APOPTOSIS OF ADULT LEYDIG CELLS","GO:0006915"
"107","APOPTOSIS OF ADULT LEYDIG CELLS DECREASED TESTOSTERONE BY ADULT LEYDIG CELLS","GO:0006915"
"108","DECREASED APOPTOSIS EPITHELIAL CELLS","GO:0006915"
"109","NA APOPTOSIS","GO:0006915"
"110","REDUCTION ABDOMINAL MUSCLE CONTRACTION","GO:0006936"
"111","OVERACTIVATION MUSCLE CONTRACTION","GO:0006936"
"112","INCREASE INFLAMMATION","GO:0006954"
"113","NA SYSTEMIC INFLAMMATION LEADING TO HEPATIC STEATOSIS","GO:0006954"
"114","INCREASE INFLAMMATION CORNEAL CELLS","GO:0006954"
"115","INFILTRATION INFLAMMATORY CELLS","GO:0006954"
"116","INCREASED INFLAMMATION","GO:0006954"
"117","LEUKOCYTE RECRUITMENT IMMUNE SYSTEM RESPONSE","GO:0006954"
"118","CHRONIC COUGH RESPIRATORY IRRITABILITY","GO:0006954"
"119","SENSITIZATION IMMUNE SYSTEM","GO:0006955"
"120","NA NARCOSIS","GO:0007009"
"121","DECREASED STEROIDOGENESIS ALTERATIONS IN THE LEYDIG CELL CYTOSKELETON","GO:0007010"
"122","DISORGANIZATION SPINDLE","GO:0007051"
"123","INCREASED CHROMOSOME MISSEGGREGATION","GO:0007059"
"124","INHIBITION NUCLEAR FACTOR KAPPA B NF-KB","GO:0007249"
"125","DECREASED HIPPOCAMPAL FUNCTION","GO:0007268"
"126","REDUCTION NEURONAL SYNAPTIC INHIBITION","GO:0007268"
"127","OVERACTIVATION NEURONOTRANSMITTER RELEASE","GO:0007269"
"128","DECREASED KISSPEPTIN RELEASE FROM NEURONS IN AVPV DECREASED HYPOTHALAMIC ESTROGEN REDUCES KISSPEPTINERGIC NEURON RESPONSE","GO:0007269"
"129","DECREASED SYNAPTOGENESIS","GO:0007416"
"130","ACCELERATED AGING","GO:0007568"
"131","INCREASE BILIARY EXCRETION TH GLUCURONIDE","GO:0007588"
"132","IMPAIRMENT LEARNING AND MEMORY","GO:0007612"
"133","INSUFFICIENCY VASCULAR","GO:0008015"
"134","INHIBITION NADH-UBIQUINONE OXIDOREDUCTASE COMPLEX I","GO:0008137"
"135","PRODUCTION CRITICAL METABOLITES CGA 330050 AND CGA 265307","GO:0008152"
"136","METABOLISM OF AFB1 PRODUCTION OF REACTIVE ELECTROPHILES","GO:0008152"
"137","INCREASED CLEARANCE OF THYROXINE FROM TISSUES","GO:0008152"
"138","PROLIFERATION CELL PROLIFERATION IN THE ABSENCE OF CYTOTOXICITY","GO:0008283"
"139","ACTIVATION/PROLIFERATION T-CELLS","GO:0008283"
"140","ALTERATIONS CELLULAR PROLIFERATION / HYPERPLASIA","GO:0008283"
"141","INCREASE PROLIFERATION LEYDIG CELL","GO:0008283"
"142","INCREASE MITOGENIC CELL PROLIFERATION HEPATOCYTES","GO:0008283"
"143","INCREASE HYPERTROPHY AND PROLIFERATION FOLLICULAR CELL","GO:0008283"
"144","INCREASE REGENERATIVE CELL PROLIFERATION CORNEAL CELLS","GO:0008283"
"145","INCREASE REGENERATIVE CELL PROLIFERATION FORESTOMACH EPITHELIAL CELLS","GO:0008283"
"146","INCREASE REGENERATIVE CELL PROLIFERATION HEPATOCYTES","GO:0008283"
"147","INCREASE REGENERATIVE CELL PROLIFERATION UROTHELIAL CELLS","GO:0008283"
"148","INCREASE CELL PROLIFERATION","GO:0008283"
"149","INCREASE PROLIFERATION OF GOBLET CELLS","GO:0008283"
"150","INCREASED HYPERTROPHY AND PROLIFERATION FOLLICULAR CELL","GO:0008283"
"151","PROLIFERATION/CLONAL EXPANSION SMOOTH MUSCLE","GO:0008283"
"152","INCREASED CELLULAR PROLIFERATION / HYPERPLASIA OF ACINAR CELLS","GO:0008283"
"153","PROLIFERATION/CLONAL EXPANSION ABERRANT BASAL CELLS","GO:0008283"
"154","INCREASED CELL PROLIFERATION MESOTHELIUM","GO:0008283"
"155","INCREASE CELL PROLIFERATION EPITHELIAL CELLS","GO:0008283"
"156","INCREASED TRIGLYCERIDE FORMATION","GO:0009058"
"157","INCREASED TRIGLYCERIDE","GO:0009058"
"158","DECREASE TETRAHYDROBIOPTERIN","GO:0009058"
"159","NA ROS FORMATION","GO:0009058"
"160","ACCUMULATION DAMAGED MITOCHONDRIAL DNA","GO:0009611"
"161","INCREASED DEVELOPMENTAL DEFECTS","GO:0009653"
"162","NA DEFECT OF EMBRYOGENESIS","GO:0009790"
"163","INCREASED PROLIFERATION OF MESENCHYMAL CELLS","GO:0010463"
"164","ALTERED HIPPOCAMPAL GENE EXPRESSION","GO:0010468"
"165","DECREASED TRANSCRIPTION OF GENES BY AR","GO:0010468"
"166","ALTERED GENE EXPRESSION SPECIFIC TO CAR ACTIVATION HEPATOCYTES ALTERED GENE EXPRESSION SPECIFIC TO CAR ACTIVATION HEPATOCYTES","GO:0010468"
"167","ACTIVATION NICOTINIC ACETYLCHOLINE RECEPTOR","GO:0015464"
"168","BINDING TUBULIN","GO:0015631"
"169","INCREASED FA INFLUX","GO:0015908"
"170","ALTERATION WNT PATHWAY","GO:0016055"
"171","OXIDATION GLUTATHIONE","GO:0016209"
"172","ACTIVATION SP1","GO:0016310"
"173","ALTERED REPRODUCTIVE BEHAVIOUR","GO:0019098"
"174","REDUCED BROOD CARE","GO:0019098"
"175","REDUCTION ECDYSIS MOTONEURON BURSTS","GO:0019226"
"176","GENERATION OF NOVEL EPITOPES ANTIGEN PRESENTATION","GO:0019882"
"177","N/A INTERFERENCES WITH SH-/SELEN-PROTEINS","GO:0019904"
"178","INCREASED SECOND MESSENGER PRODUCTION","GO:0019932"
"179","INCREASED REPRODUCTIVE SUCCESS","GO:0022414"
"180","REDUCTION IONOTROPIC GABA RECEPTOR CHLORIDE CHANNEL CONDUCTANCE","GO:0022851"
"181","ACTIVATION IONOTROPIC GABA RECEPTOR CHLORIDE CHANNEL","GO:0022851"
"182","NA DIFFERENTIATION OF MYOFIBROBLAST","GO:0030154"
"183","INCREASED CATABOLISM OF MUSCLE PROTEIN","GO:0030163"
"184","AGONISM ESTROGEN RECEPTOR","GO:0030284"
"185","ANTAGONISM ESTROGEN RECEPTOR","GO:0030284"
"186","DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS ACTIVATION BY OTHER ESTRADIOL AGONISTS","GO:0030284"
"187","INCREASED ESTROGEN RECEPTOR ER ACTIVITY","GO:0030284"
"188","SUPPRESSION ESTROGEN RECEPTOR ER ACTIVITY","GO:0030284"
"189","PREPUBERTAL INCREASE ESTROGEN RECEPTOR ER ACTIVITY","GO:0030284"
"190","INCREASED ER BINDING TO DNA CLASSICAL PATHWAY","GO:0030331"
"191","INCREASED ER BINDING TO TF TO DNA NON-CLASSICAL PATHWAY","GO:0030331"
"192","ACTIVATION ESTROGEN RECEPTOR ALPHA","GO:0030520"
"193","DESENSITIZATION NICOTINIC ACETYLCHOLINE RECEPTOR","GO:0030545"
"194","DESENSITIZATION NICOTINIC ACETYLCHOLINE RECEPTOR DESENSITIZATION NICOTINIC ACETYLCHOLINE RECEPTOR","GO:0030549"
"195","DECREASE OVULATION","GO:0030728"
"196","SUPPRESSION IL-2 AND IL-4 PRODUCTION","GO:0032623"
"197","ACCUMULATION COLLAGEN","GO:0032964"
"198","NA EXPRESSION OF COLLAGEN","GO:0032964"
"199","ACTIVATION PPARALPHA","GO:0035357"
"200","ACTIVATION PPARGAMMA","GO:0035357"
"201","DECREASED PPAR-ALPHA ACTIVATION","GO:0035357"
"202","DECREASED PPAR-BETA ACTIVATION","GO:0035357"
"203","DECREASED PPAR-GAMMA ACTIVATION","GO:0035357"
"204","INHIBITION PPAR ALPHA","GO:0035357"
"205","ACTIVATION OF SPECIFIC NUCLEAR RECEPTORS PPAR-GAMMA ACTIVATION","GO:0035357"
"206","INCREASED PPAR-ALPHA ACTIVATION","GO:0035357"
"207","NA INACTIVATION OF PPAR??","GO:0035357"
"208","DECREASED PPARALPHA TRANSACTIVATION OF GENE EXPRESSION","GO:0035624"
"209","DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS INCREASED COUP-TFII IN FETAL LEYDIG CELLS","GO:0035624"
"210","DECREASED NUMBER AND FUNCTION OF ADULT LEYDIG CELLS DECREASED COUP-TFII STEM LEYDIG CELLS","GO:0035624"
"211","DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS DECREASED COUP-TFII STEM LEYDIG CELLS","GO:0035624"
"212","N/A NEURONAL DYSFUNCTION","GO:0036475"
"213","INCREASED LOCOMOTION","GO:0040011"
"214","INCREASED MUSCULAR WAVES IN FOOT","GO:0040011"
"215","DECREASED LOCOMOTION","GO:0040011"
"216","FAILURE IN VASCULAR REPAIR MECHANISMS UNRESOLVED BLOOD LOSS HEMORRHAGE","GO:0042060"
"217","INCREASED ACTIVATION AND RECRUITMENT OF HEPATIC MACROPHAGES KUPFFER CELLS","GO:0042116"
"218","ACTIVATION MACROPHAGES","GO:0042116"
"219","IMPAIRED VASODILATION","GO:0042311"
"220","DECREASED SYNTHESIS OF NE","GO:0042421"
"221","INCREASE LUTEINIZING HORMONE LH","GO:0042446"
"222","N/A REPRESSED EXPRESSION OF STEROIDOGENIC ENZYMES","GO:0042446"
"223","INCREASED T4/T3 CATABOLISM","GO:0042447"
"224","FORMATION FORMATION OF HEMOGLOBIN ADDUCTS","GO:0042541"
"225","IRREGULARITIES OVARIAN CYCLE","GO:0042698"
"226","OVULATION OF OOCYTES REDUCED DELAYED OR BLOCKED DECREASE OR DELAY IN LH SURGE REQUIRED FOR OVULATION","GO:0042698"
"227","DECREASED PROGESTERONE FROM CORPUS LUTEUM","GO:0042701"
"228","INCREASED MIGRATION ENDOTHELIAL CELLS","GO:0043542"
"229","ANTICOAGULANT RODENTICIDE INTERFERES WITH CARBOXYLATION OF GLA PROTEINS IN BONE IMPAIRMENT OF POST-TRANSLATIONAL MODIFICATION CARBOXYLATION OF OSTEOCALCIN","GO:0043687"
"230","SUPPRESSION IMMUNE SYSTEM","GO:0044414"
"231","RELAXATION SMOOTH MUSCLE","GO:0044557"
"232","N/A REPRODUCTIVE FAILURE","GO:0044703"
"233","INCREASE OXIDATIVE METABOLISM","GO:0045333"
"234","INCREASED ADIPOGENESIS","GO:0045444"
"235","DECREASED GLUCOSE OXIDASE ENZYME ACTIVITY","GO:0046562"
"236","DECREASED GNRH PULSATILITY/RELEASE","GO:0046879"
"237","DECREASED LH SURGE","GO:0046879"
"238","DECREASED GNRH RELEASE DECREASED KISSPEPTIN STIMULATION OF GNRH NEURONS","GO:0046879"
"239","INCREASED SECRETION OF GNRH FROM HYPOTHALAMUS","GO:0046879"
"240","DECREASED GNRH PULSATILITY/RELEASE IN HYPOTHALAMUS","GO:0046879"
"241","DECREASED LH SURGE FROM ANTERIOR PITUITARY","GO:0046879"
"242","INCREASED SECRECTION OF FSH FROM ANTERIOR PITUITARY","GO:0046884"
"243","REDUCED RELEASE OF BDNF","GO:0046903"
"244","SUPPRESSION VLDL SECRETION","GO:0046903"
"245","DECREASED CORTICAL GRANULE RELEASE/DISTRIBUTION UPON FERTILIZATION","GO:0046903"
"246","INCREASE MUCIN PRODUCTION","GO:0046903"
"247","INCREASED SECRETION OF LOCAL GROWTH FACTORS","GO:0046903"
"248","DIMERIZATION AHR/ARNT DIMERIZATION AHR/ARNT","GO:0046983"
"249","DIMERIZATION AHR/ARNT","GO:0046983"
"250","REDUCED DIMERIZATION ARNT/HIF1-ALPHA","GO:0046983"
"251","BINDING OF ANTAGONIST PPAR ALPHA","GO:0048019"
"252","INCREASED GAMETE MATURATION","GO:0048469"
"253","ABERRANT DENDRITIC MORPHOLOGY","GO:0048813"
"254","ALTERED NEUROANATOMY","GO:0048856"
"255","INCREASED MOTILITY","GO:0048870"
"256","RELEASE CYTOKINE","GO:0050663"
"257","DECREASED HYDROGEN PEROXIDE PRODUCTION","GO:0050665"
"258","INCREASE REGENERATIVE CELL PROLIFERATION TUBULAR EPITHELIAL CELLS","GO:0050673"
"259","INCREASE REGENERATIVE CELL PROLIFERATION TERMINAL BRONCHIOLAR EPITHELIAL CELLS","GO:0050673"
"260","INCREASED NEURONAL SYNAPTIC INHIBITION","GO:0050805"
"261","DECREASED STEROIDOGENESIS DECREASED ACTIVITY OF STEROIDOGENIC ENZYMES IN ADULT LEYDIG CELLS","GO:0050810"
"262","DIRECT EFFECTS OF CORTICOSTERONE ON STEROIDOGENESIS DECREASED TESTOSTERONE BY ADULT LEYDIG CELLS","GO:0050810"
"263","DECREASED COGNITIVE FUNCTION","GO:0050890"
"264","DECREASED BINDING OF NE TO NE RECEPTORS ON GNRH NEURONS","GO:0051380"
"265","INHIBITION REUPTAKE OF 5-HT 5-HYDROXYTRYPTAMINE TRANSPORTER; SODIUM-DEPENDENT SEROTONIN TRANSPORTER","GO:0051610"
"266","OCCURRENCE A PAROXYSMAL DEPOLARIZING SHIFT","GO:0051899"
"267","PROLONGED DEPOLARIZATION OF NEURONAL MEMBRANE","GO:0051899"
"268","LIPID MEMBRANES PROTEINS DNA OXIDATION OF BIOMOLECULES","GO:0055114"
"269","INCREASED INHIBITORY POSTSYNAPTIC POTENTIAL","GO:0060080"
"270","INCREASE TRANSDIFFERENTIATION OF CILIATED EPITHELIAL CELLS","GO:0060290"
"271","DECREASED LONG-TERM POTENTIATION LTP","GO:0060291"
